scores,magnitude,score,positive,negative,neutral,mixed
0.5,0.899999976,-0.100000001,0.854779899,0.004571896,0.118528746,0.022119401
0.5,2.400000095,0.400000006,0.707080424,0.001918232,0.274524689,0.016476719
0.5,0.300000012,0,0.556290209,0.000126011,0.442964226,0.000619577
0.5,4.800000191,0.100000001,0.837664425,0.00421184,0.151988313,0.006135364
0.5,0,0,0.921909869,0.006355584,0.067365505,0.00436912
0.5,0.600000024,0,0.5498842,0.033967365,0.284001738,0.132146746
0.5,3.5,0.300000012,0.663666189,0.005013761,0.292827219,0.038492855
0.848863006,0,0,0.528618753,0.050605047,0.390366435,0.03040974
0.5,3.400000095,0.400000006,0.504099667,0.009170052,0.475324005,0.011406225
0.790459037,0.200000003,0.100000001,0.945801735,0.000923812,0.04542128,0.007853155
0.199887097,0.100000001,0.100000001,0.774102509,0.000611969,0.203721359,0.02156412
0.752953827,0.300000012,0,0.66006422,0.053112939,0.19916223,0.087660655
0.5,0.699999988,0,0.895705521,0.00084073,0.090312839,0.013140892
0.5,1,0,0.342924148,0.180970579,0.197834864,0.278270394
0.5,0.200000003,0.100000001,0.562768102,0.001869912,0.418622285,0.016739711
0.5,0,0,0.880384088,0.003750306,0.07472346,0.041142192
0.5,0.300000012,0,0.843090832,0.000873629,0.144085735,0.01194987
0.5,3,0,0.674755692,0.019320311,0.291906118,0.014017871
0.5,0.699999988,0.100000001,0.731953204,0.004541683,0.218991354,0.044513848
0.5,0.100000001,0,0.395173013,0.021406427,0.351041555,0.23237896
0.5,0,0,0.501943588,0.042437591,0.14075014,0.314868629
0.5,5.400000095,0.200000003,0.908997178,0.004900343,0.082927659,0.003174817
0.5,0,0,0.862116277,0.001183569,0.132634103,0.004066064
0.5,1.200000048,0.200000003,0.641015232,0.071706273,0.252874345,0.034404192
0.5,1,-0.300000012,0.580515385,0.002619863,0.400468439,0.016396321
0.5,5.400000095,0.200000003,0.980911851,4.8579E-05,0.01654125,0.002498447
0.5,0,0,0.895591617,0.000817763,0.093949974,0.009640585
0.5,0.699999988,0.100000001,0.740586638,0.016717197,0.227801532,0.014894598
0.5,1.700000048,0.100000001,0.564812064,0.011804121,0.40448156,0.018902251
0.731781483,0,0,0.652033687,0.017957661,0.283283561,0.046725061
0.5,0,0,0.428801,0.018379485,0.250858366,0.301961213
0.231947988,0.899999976,0,0.592638791,0.01488174,0.295908511,0.096570909
0.764016688,6.599999905,0.300000012,0.829739153,0.000373439,0.157551274,0.012336177
0.8927508,0,0,0.519478917,0.052229922,0.411466449,0.016824733
0.805184484,1.600000024,0.400000006,0.600458026,0.00061819,0.388403982,0.01051984
0.5,2.400000095,0.300000012,0.531222403,0.000790272,0.420431942,0.047555409
0.908225417,1.100000024,0.5,0.970613897,8.55332E-06,0.029090554,0.0002871
0.896788478,2.299999952,0.400000006,0.954358697,0.000375481,0.033538662,0.011727186
0.5,2,0.400000006,0.529245377,0.003663473,0.443867028,0.02322411
0.80090034,0.899999976,0.400000006,0.477300823,0.057455581,0.29320246,0.172041103
0.5,3.200000048,0.300000012,0.823857784,0.007410588,0.140645161,0.028086539
0.985168457,2.200000048,0.200000003,0.970158696,8.90286E-05,0.026550336,0.003201887
0.5,2,0.200000003,0.581329882,0.022245253,0.272568166,0.123856626
0.5,1,0.300000012,0.881065726,0.006498659,0.099147283,0.013288345
0.5,0.200000003,0.100000001,0.567428529,0.129195273,0.102053203,0.201322958
0.845485091,1.700000048,0.400000006,0.975590169,0.000688111,0.019234532,0.004487126
0.5,2.400000095,0.200000003,0.641539335,0.01011629,0.273463219,0.074881189
0.5,1.899999976,0.300000012,0.809335589,0.012873027,0.167510837,0.010280513
0.5,2.200000048,0.5,0.911012828,0.001968908,0.07864707,0.008371213
0.5,2.700000048,0.600000024,0.71834898,0.022228777,0.244060278,0.015361907
0.5,2,0.600000024,0.773031175,0.00177193,0.205756232,0.019440688
0.5,0,0,0.508872271,0.007837891,0.4619973,0.021292504
